order_id,date,month,iso_week,shift,machine_id,product_id,planned_qty,total_qty,good_qty,scrap_qty,planned_minutes,run_minutes,ideal_cycle_time_s,actual_cycle_time_s,energy_kwh,labor_hours,material_cost_eur,energy_cost_eur,maintenance_cost_eur,production_cost_eur,revenue_eur
WO-000028,2025-01-03,2025-01,2025-W01,Morning,M03,P03,566,581,574,7,430.0,397.0,38.0,41.0,404.16,7.17,15106.0,58.6,60.67,21332.44,32144.0
WO-000029,2025-01-03,2025-01,2025-W01,Afternoon,M03,P03,564,549,541,8,430.0,378.3,38.0,41.34,396.16,7.17,14274.0,57.44,14.44,20149.05,30296.0
WO-000030,2025-01-03,2025-01,2025-W01,Morning,M04,P06,175,133,127,6,430.0,317.46,125.0,143.22,246.96,7.17,18487.0,35.81,74.99,25968.47,37846.0
WO-000031,2025-01-03,2025-01,2025-W01,Afternoon,M04,P06,171,133,127,6,430.0,328.98,125.0,148.41,258.8,7.17,18487.0,37.53,88.25,25983.45,37846.0
WO-000032,2025-01-03,2025-01,2025-W01,Morning,M05,P05,417,405,396,9,430.0,379.51,52.0,56.22,208.29,7.17,19440.0,30.2,56.76,26999.63,40392.0
WO-000033,2025-01-03,2025-01,2025-W01,Afternoon,M05,P06,182,160,154,6,430.0,373.38,125.0,140.02,212.79,7.17,22240.0,30.85,28.46,31046.98,45892.0
WO-000034,2025-01-03,2025-01,2025-W01,Morning,M06,P06,177,177,171,6,430.0,404.73,125.0,137.2,242.07,7.17,24603.0,35.1,13.53,34266.3,50958.0
WO-000035,2025-01-03,2025-01,2025-W01,Afternoon,M06,P01,350,354,347,7,430.0,385.28,62.0,65.3,241.3,7.17,15576.0,34.99,16.06,21878.71,32618.0
WO-000036,2025-01-06,2025-01,2025-W02,Morning,M01,P03,553,528,521,7,430.0,371.39,38.0,42.2,347.56,7.17,13728.0,50.4,63.03,19445.09,29176.0
WO-000037,2025-01-06,2025-01,2025-W02,Afternoon,M01,P02,288,289,282,7,430.0,379.59,74.0,78.81,347.92,7.17,17051.0,50.45,14.41,23772.53,35532.0
WO-000038,2025-01-06,2025-01,2025-W02,Morning,M02,P02,288,280,276,4,430.0,384.06,74.0,82.3,267.93,7.17,16520.0,38.85,75.54,23102.06,34776.0
WO-000039,2025-01-06,2025-01,2025-W02,Afternoon,M02,P05,412,382,372,10,430.0,376.39,52.0,59.12,257.56,7.17,18336.0,37.35,34.52,25489.53,37944.0
WO-000040,2025-01-06,2025-01,2025-W02,Morning,M03,P03,574,571,567,4,430.0,396.4,38.0,41.65,399.35,7.17,14846.0,57.91,19.41,20935.48,31752.0
WO-000041,2025-01-06,2025-01,2025-W02,Afternoon,M03,P05,396,421,410,11,430.0,404.49,52.0,57.65,419.41,7.17,20208.0,60.81,37.31,28050.79,41820.0
WO-000042,2025-01-06,2025-01,2025-W02,Morning,M04,P06,175,126,121,5,430.0,308.65,125.0,146.97,247.98,7.17,17514.0,35.96,102.09,24665.71,36058.0
WO-000043,2025-01-06,2025-01,2025-W02,Morning,M05,P01,363,323,319,4,430.0,365.06,62.0,67.81,201.71,7.17,14212.0,29.25,23.89,20020.8,29986.0
WO-000044,2025-01-06,2025-01,2025-W02,Afternoon,M05,P06,178,168,162,6,430.0,380.49,125.0,135.89,209.47,7.17,23352.0,30.37,75.11,32613.15,48276.0
WO-000045,2025-01-06,2025-01,2025-W02,Morning,M06,P01,354,352,344,8,430.0,398.63,62.0,67.95,238.0,7.17,15488.0,34.51,43.79,21785.97,32336.0
WO-000046,2025-01-06,2025-01,2025-W02,Afternoon,M06,P06,169,174,167,7,430.0,385.0,125.0,132.76,232.3,7.17,24186.0,33.68,12.0,33693.35,49766.0
WO-000047,2025-01-07,2025-01,2025-W02,Morning,M01,P01,360,348,341,7,430.0,388.39,62.0,66.96,361.89,7.17,15312.0,52.47,20.52,21540.66,32054.0
WO-000048,2025-01-07,2025-01,2025-W02,Afternoon,M01,P02,303,278,272,6,430.0,385.12,74.0,83.12,351.64,7.17,16402.0,50.99,31.21,22909.87,34272.0
WO-000049,2025-01-07,2025-01,2025-W02,Morning,M02,P01,361,328,323,5,430.0,382.55,62.0,69.98,275.5,7.17,14432.0,39.95,22.94,20330.56,30362.0
WO-000050,2025-01-07,2025-01,2025-W02,Afternoon,M02,P05,410,372,361,11,430.0,355.53,52.0,57.34,249.83,7.17,17856.0,36.22,65.93,24869.82,36822.0
WO-000051,2025-01-07,2025-01,2025-W02,Morning,M03,P03,601,572,564,8,430.0,392.08,38.0,41.13,403.98,7.17,14872.0,58.58,33.79,20986.04,31584.0
WO-000052,2025-01-07,2025-01,2025-W02,Afternoon,M03,P03,591,597,587,10,430.0,408.36,38.0,41.04,425.3,7.17,15522.0,61.67,25.24,21868.08,32872.0
WO-000053,2025-01-07,2025-01,2025-W02,Morning,M04,P03,608,448,442,6,430.0,326.3,38.0,43.7,251.64,7.17,11648.0,36.49,88.66,16616.81,24752.0
WO-000054,2025-01-07,2025-01,2025-W02,Afternoon,M04,P04,240,182,178,4,430.0,310.21,95.0,102.27,253.99,7.17,18018.0,36.83,91.66,25104.15,37380.0
WO-000055,2025-01-07,2025-01,2025-W02,Morning,M05,P04,231,211,208,3,430.0,367.84,95.0,104.6,205.4,7.17,20889.0,29.78,67.8,28959.25,43680.0
WO-000056,2025-01-07,2025-01,2025-W02,Afternoon,M05,P06,179,150,144,6,430.0,352.24,125.0,140.9,196.96,7.17,20850.0,28.56,31.46,29147.69,42912.0
WO-000057,2025-01-07,2025-01,2025-W02,Morning,M06,P05,423,429,418,11,430.0,400.63,52.0,56.03,241.96,7.17,20592.0,35.08,12.66,28520.41,42636.0
WO-000058,2025-01-07,2025-01,2025-W02,Afternoon,M06,P04,240,221,216,5,430.0,389.33,95.0,105.7,243.52,7.17,21879.0,35.31,16.03,30253.0,45360.0
WO-000059,2025-01-08,2025-01,2025-W02,Morning,M01,P03,556,522,518,4,430.0,363.65,38.0,41.8,351.34,7.17,13572.0,50.94,61.69,19231.3,29008.0
WO-000060,2025-01-08,2025-01,2025-W02,Afternoon,M01,P02,321,278,273,5,430.0,387.99,74.0,83.74,356.76,7.17,16402.0,51.73,21.25,22900.64,34398.0
WO-000061,2025-01-08,2025-01,2025-W02,Morning,M02,P02,296,270,263,7,430.0,378.55,74.0,84.12,266.45,7.17,15930.0,38.64,31.48,22257.78,33138.0
WO-000062,2025-01-08,2025-01,2025-W02,Afternoon,M02,P05,437,382,374,8,430.0,370.94,52.0,58.26,290.25,7.17,18336.0,42.09,27.32,25487.07,38148.0
WO-000063,2025-01-08,2025-01,2025-W02,Morning,M03,P01,358,369,362,7,430.0,398.36,62.0,64.77,423.67,7.17,16236.0,61.43,25.69,22814.79,34028.0
WO-000064,2025-01-08,2025-01,2025-W02,Afternoon,M03,P05,430,422,410,12,430.0,402.84,52.0,57.28,421.76,7.17,20256.0,61.16,15.8,28094.62,41820.0
WO-000065,2025-01-08,2025-01,2025-W02,Morning,M04,P04,231,177,172,5,430.0,314.2,95.0,106.51,258.69,7.17,17523.0,37.51,101.31,24444.49,36120.0
WO-000066,2025-01-08,2025-01,2025-W02,Afternoon,M04,P04,226,181,175,6,430.0,330.27,95.0,109.48,262.08,7.17,17919.0,38.0,71.03,24950.69,36750.0
WO-000067,2025-01-08,2025-01,2025-W02,Morning,M05,P05,413,390,380,10,430.0,369.84,52.0,56.9,208.67,7.17,18720.0,30.26,16.79,25984.72,38760.0
WO-000068,2025-01-08,2025-01,2025-W02,Afternoon,M05,P05,410,355,345,10,430.0,345.85,52.0,58.45,191.1,7.17,17040.0,27.71,37.75,23728.13,35190.0
WO-000069,2025-01-08,2025-01,2025-W02,Morning,M06,P01,373,329,325,4,430.0,386.22,62.0,70.43,224.86,7.17,14476.0,32.6,36.97,20397.24,30550.0
WO-000070,2025-01-08,2025-01,2025-W02,Afternoon,M06,P04,221,223,218,5,430.0,387.83,95.0,104.35,234.28,7.17,22077.0,33.97,40.35,30543.99,45780.0
WO-000071,2025-01-09,2025-01,2025-W02,Morning,M01,P03,585,559,553,6,430.0,387.94,38.0,41.64,366.63,7.17,14534.0,53.16,34.55,20519.88,30968.0
WO-000072,2025-01-09,2025-01,2025-W02,Afternoon,M01,P02,283,262,254,8,430.0,368.1,74.0,84.3,321.1,7.17,15458.0,46.56,29.8,21624.02,32004.0
WO-000073,2025-01-09,2025-01,2025-W02,Morning,M02,P05,422,379,371,8,430.0,366.65,52.0,58.05,251.43,7.17,18192.0,36.46,12.0,25271.12,37842.0
WO-000074,2025-01-09,2025-01,2025-W02,Afternoon,M02,P02,293,287,281,6,430.0,393.91,74.0,82.35,276.17,7.17,16933.0,40.04,40.51,23628.22,35406.0
WO-000075,2025-01-09,2025-01,2025-W02,Morning,M03,P01,361,326,321,5,430.0,379.78,62.0,69.9,383.08,7.17,14344.0,55.55,12.0,20215.21,30174.0
WO-000076,2025-01-09,2025-01,2025-W02,Afternoon,M03,P01,371,347,339,8,430.0,386.66,62.0,66.86,400.85,7.17,15268.0,58.12,18.27,21484.06,31866.0
WO-000077,2025-01-09,2025-01,2025-W02,Morning,M04,P03,574,420,411,9,430.0,310.54,38.0,44.36,246.49,7.17,10920.0,35.74,94.26,15627.67,23016.0
WO-000078,2025-01-09,2025-01,2025-W02,Afternoon,M04,P03,598,432,419,13,430.0,315.44,38.0,43.81,259.01,7.17,11232.0,37.56,68.02,16029.24,23464.0
WO-000079,2025-01-09,2025-01,2025-W02,Morning,M05,P04,228,220,215,5,430.0,384.09,95.0,104.75,211.76,7.17,21780.0,30.71,25.14,30123.52,45150.0
WO-000080,2025-01-09,2025-01,2025-W02,Afternoon,M05,P06,172,162,156,6,430.0,373.64,125.0,138.39,210.68,7.17,22518.0,30.55,45.22,31443.43,46488.0
WO-000081,2025-01-09,2025-01,2025-W02,Morning,M06,P06,169,175,169,6,430.0,396.52,125.0,135.95,233.14,7.17,24325.0,33.81,20.04,33891.51,50362.0
WO-000082,2025-01-09,2025-01,2025-W02,Afternoon,M06,P01,355,356,350,6,430.0,402.34,62.0,67.81,242.64,7.17,15664.0,35.18,19.71,22002.56,32900.0
WO-000083,2025-01-10,2025-01,2025-W02,Morning,M01,P02,289,285,278,7,430.0,395.18,74.0,83.2,353.37,7.17,16815.0,51.24,23.63,23462.53,35028.0
WO-000084,2025-01-10,2025-01,2025-W02,Afternoon,M01,P02,280,268,262,6,430.0,380.9,74.0,85.28,343.32,7.17,15812.0,49.78,24.72,22102.17,33012.0
WO-000085,2025-01-10,2025-01,2025-W02,Morning,M02,P01,355,310,307,3,430.0,363.15,62.0,70.29,240.9,7.17,13640.0,34.93,27.4,19249.99,28858.0
WO-000086,2025-01-10,2025-01,2025-W02,Afternoon,M02,P05,451,373,363,10,430.0,366.52,52.0,58.96,259.69,7.17,17904.0,37.66,24.47,24894.79,37026.0
WO-000087,2025-01-10,2025-01,2025-W02,Morning,M03,P03,552,604,598,6,430.0,403.87,38.0,40.12,414.51,7.17,15704.0,60.1,19.81,22109.58,33488.0
WO-000088,2025-01-10,2025-01,2025-W02,Afternoon,M03,P01,362,353,344,9,430.0,391.49,62.0,66.54,398.33,7.17,15532.0,57.76,37.8,21863.22,32336.0
WO-000089,2025-01-10,2025-01,2025-W02,Morning,M04,P04,231,179,175,4,430.0,325.95,95.0,109.26,260.82,7.17,17721.0,37.82,96.83,24708.31,36750.0
WO-000090,2025-01-10,2025-01,2025-W02,Afternoon,M04,P06,169,128,122,6,430.0,313.98,125.0,147.18,257.61,7.17,17792.0,37.35,124.21,25069.23,36356.0
WO-000091,2025-01-10,2025-01,2025-W02,Morning,M05,P06,171,177,172,5,430.0,391.54,125.0,132.72,212.27,7.17,24603.0,30.78,12.0,34260.45,51256.0
WO-000092,2025-01-10,2025-01,2025-W02,Afternoon,M05,P04,227,220,216,4,430.0,387.54,95.0,105.69,226.26,7.17,21780.0,32.81,12.0,30112.47,45360.0
WO-000093,2025-01-10,2025-01,2025-W02,Morning,M06,P06,179,184,178,6,430.0,415.26,125.0,135.41,251.26,7.17,25576.0,36.43,36.09,35620.19,53044.0
WO-000094,2025-01-10,2025-01,2025-W02,Afternoon,M06,P04,235,222,218,4,430.0,399.34,95.0,107.93,243.1,7.17,21978.0,35.25,45.94,30416.86,45780.0
WO-000095,2025-01-13,2025-01,2025-W03,Morning,M01,P03,552,557,552,5,430.0,385.14,38.0,41.49,362.3,7.17,14482.0,52.53,55.04,20468.74,30912.0
WO-000096,2025-01-13,2025-01,2025-W03,Afternoon,M01,P03,550,533,526,7,430.0,362.83,38.0,40.84,336.72,7.17,13858.0,48.82,21.32,19579.31,29456.0
WO-000097,2025-01-13,2025-01,2025-W03,Morning,M02,P01,339,340,335,5,430.0,381.28,62.0,67.29,269.79,7.17,14960.0,39.12,40.93,21067.72,31490.0
WO-000098,2025-01-13,2025-01,2025-W03,Afternoon,M02,P05,419,367,359,8,430.0,355.37,52.0,58.1,262.1,7.17,17616.0,38.0,71.13,24551.8,36618.0
WO-000099,2025-01-13,2025-01,2025-W03,Morning,M03,P03,588,573,564,9,430.0,389.1,38.0,40.74,407.83,7.17,14898.0,59.14,33.56,21021.86,31584.0
WO-000100,2025-01-13,2025-01,2025-W03,Afternoon,M03,P03,590,566,553,13,430.0,386.14,38.0,40.93,402.32,7.17,14716.0,58.34,20.86,20759.86,30968.0
WO-000101,2025-01-13,2025-01,2025-W03,Morning,M04,P06,179,139,132,7,430.0,324.43,125.0,140.04,262.4,7.17,19321.0,38.05,59.52,27095.23,39336.0
WO-000102,2025-01-13,2025-01,2025-W03,Afternoon,M04,P04,235,181,175,6,430.0,329.7,95.0,109.29,254.76,7.17,17919.0,36.94,100.94,24979.55,36750.0
WO-000103,2025-01-13,2025-01,2025-W03,Morning,M05,P01,352,337,331,6,430.0,378.33,62.0,67.36,215.44,7.17,14828.0,31.24,30.02,20868.92,31114.0
WO-000104,2025-01-13,2025-01,2025-W03,Afternoon,M05,P04,232,209,205,4,430.0,380.75,95.0,109.3,215.69,7.17,20691.0,31.27,21.79,28646.73,43050.0
WO-000105,2025-01-13,2025-01,2025-W03,Morning,M06,P01,361,374,371,3,430.0,417.1,62.0,66.91,256.39,7.17,16456.0,37.18,27.11,23091.95,34874.0
WO-000106,2025-01-13,2025-01,2025-W03,Afternoon,M06,P04,227,222,216,6,430.0,399.64,95.0,108.01,251.63,7.17,21978.0,36.49,161.75,30533.9,45360.0
WO-000107,2025-01-14,2025-01,2025-W03,Morning,M01,P03,583,549,538,11,430.0,377.7,38.0,41.28,340.33,7.17,14274.0,49.35,27.91,20154.43,30128.0
WO-000108,2025-01-14,2025-01,2025-W03,Afternoon,M01,P01,354,319,315,4,430.0,372.47,62.0,70.06,355.39,7.17,14036.0,51.53,79.98,19859.18,29610.0
WO-000109,2025-01-14,2025-01,2025-W03,Morning,M02,P01,354,332,326,6,430.0,390.4,62.0,70.55,270.6,7.17,14608.0,39.24,34.04,20580.94,30644.0
WO-000110,2025-01-14,2025-01,2025-W03,Afternoon,M02,P02,291,261,256,5,430.0,367.19,74.0,84.41,260.61,7.17,15399.0,37.79,31.02,21536.47,32256.0
WO-000111,2025-01-14,2025-01,2025-W03,Morning,M03,P03,570,572,564,8,430.0,382.72,38.0,40.15,415.64,7.17,14872.0,60.27,23.1,20977.04,31584.0
WO-000112,2025-01-14,2025-01,2025-W03,Afternoon,M03,P01,340,327,321,6,430.0,384.52,62.0,70.55,399.89,7.17,14388.0,57.98,57.95,20323.6,30174.0
WO-000113,2025-01-14,2025-01,2025-W03,Morning,M04,P06,173,133,127,6,430.0,319.4,125.0,144.09,266.12,7.17,18487.0,38.59,66.26,25962.51,37846.0
WO-000114,2025-01-14,2025-01,2025-W03,Afternoon,M04,P04,232,161,156,5,430.0,287.09,95.0,106.99,224.45,7.17,15939.0,32.55,128.31,22322.52,32760.0
WO-000115,2025-01-14,2025-01,2025-W03,Morning,M05,P04,226,223,220,3,430.0,398.03,95.0,107.09,210.53,7.17,22077.0,30.53,12.1,30512.29,46200.0
WO-000116,2025-01-14,2025-01,2025-W03,Afternoon,M05,P01,357,324,320,4,430.0,369.27,62.0,68.38,213.12,7.17,14256.0,30.9,12.0,20070.57,30080.0
WO-000117,2025-01-14,2025-01,2025-W03,Morning,M06,P01,370,357,350,7,430.0,389.65,62.0,65.49,226.65,7.17,15708.0,32.86,28.95,22069.48,32900.0
WO-000118,2025-01-14,2025-01,2025-W03,Afternoon,M06,P04,240,238,234,4,430.0,411.58,95.0,103.76,241.79,7.17,23562.0,35.06,107.12,32621.85,49140.0
WO-000119,2025-01-15,2025-01,2025-W03,Morning,M01,P03,565,552,544,8,430.0,383.72,38.0,41.71,359.41,7.17,14352.0,52.11,29.44,20265.22,30464.0
WO-000120,2025-01-15,2025-01,2025-W03,Afternoon,M01,P01,349,327,320,7,430.0,372.4,62.0,68.33,325.25,7.17,14388.0,47.16,82.2,20337.03,30080.0
WO-000121,2025-01-15,2025-01,2025-W03,Morning,M02,P05,405,408,396,12,430.0,390.35,52.0,57.4,273.56,7.17,19584.0,39.67,35.5,27182.84,40392.0
WO-000122,2025-01-15,2025-01,2025-W03,Afternoon,M02,P05,428,384,377,7,430.0,367.99,52.0,57.5,240.79,7.17,18432.0,34.91,103.83,25686.41,38454.0
WO-000123,2025-01-15,2025-01,2025-W03,Morning,M03,P01,358,348,343,5,430.0,392.95,62.0,67.75,412.52,7.17,15312.0,59.82,12.0,21539.48,32242.0
WO-000124,2025-01-15,2025-01,2025-W03,Afternoon,M03,P01,347,346,341,5,430.0,392.24,62.0,68.02,428.36,7.17,15224.0,62.11,20.55,21430.33,32054.0
WO-000125,2025-01-15,2025-01,2025-W03,Morning,M04,P04,234,180,174,6,430.0,328.92,95.0,109.64,262.83,7.17,17820.0,38.11,87.7,24833.47,36540.0
WO-000126,2025-01-15,2025-01,2025-W03,Afternoon,M04,P06,181,136,129,7,430.0,323.62,125.0,142.77,246.13,7.17,18904.0,35.69,74.78,26538.14,38442.0
WO-000127,2025-01-15,2025-01,2025-W03,Morning,M05,P05,427,379,366,13,430.0,372.0,52.0,58.89,214.48,7.17,18192.0,31.1,70.97,25324.74,37332.0
WO-000128,2025-01-15,2025-01,2025-W03,Afternoon,M05,P01,337,315,310,5,430.0,369.8,62.0,70.44,209.81,7.17,13860.0,30.42,42.69,19560.77,29140.0
WO-000129,2025-01-15,2025-01,2025-W03,Morning,M06,P04,239,239,236,3,430.0,415.23,95.0,104.24,262.42,7.17,23661.0,38.05,72.77,32724.49,49560.0
WO-000130,2025-01-15,2025-01,2025-W03,Afternoon,M06,P05,433,415,405,10,430.0,396.53,52.0,57.33,240.65,7.17,19920.0,34.89,25.87,27623.43,41310.0
WO-000131,2025-01-16,2025-01,2025-W03,Morning,M01,P02,282,303,298,5,430.0,408.12,74.0,80.82,390.96,7.17,17877.0,56.69,27.21,24911.56,37548.0
WO-000132,2025-01-16,2025-01,2025-W03,Afternoon,M01,P02,274,278,271,7,430.0,379.44,74.0,81.89,345.06,7.17,16402.0,50.03,84.87,22962.57,34146.0
WO-000133,2025-01-16,2025-01,2025-W03,Morning,M02,P01,352,317,311,6,430.0,366.27,62.0,69.32,255.43,7.17,13948.0,37.04,45.68,19690.39,29234.0
WO-000134,2025-01-16,2025-01,2025-W03,Afternoon,M02,P01,365,304,298,6,430.0,374.42,62.0,73.9,252.02,7.17,13376.0,36.54,15.79,18880.0,28012.0
WO-000135,2025-01-16,2025-01,2025-W03,Morning,M03,P01,358,364,358,6,430.0,397.58,62.0,65.54,395.37,7.17,16016.0,57.33,13.39,22498.38,33652.0
WO-000136,2025-01-16,2025-01,2025-W03,Afternoon,M03,P05,431,400,388,12,430.0,386.8,52.0,58.02,407.83,7.17,19200.0,59.14,27.57,26674.37,39576.0
WO-000137,2025-01-16,2025-01,2025-W03,Morning,M04,P03,572,454,442,12,430.0,326.59,38.0,43.16,272.71,7.17,11804.0,39.54,76.89,16821.1,24752.0
WO-000138,2025-01-16,2025-01,2025-W03,Afternoon,M04,P04,222,174,169,5,430.0,322.06,95.0,111.05,258.13,7.17,17226.0,37.43,71.36,24012.46,35490.0
WO-000139,2025-01-16,2025-01,2025-W03,Morning,M05,P04,234,215,211,4,430.0,378.65,95.0,105.67,216.37,7.17,21285.0,31.37,63.65,29492.69,44310.0
WO-000140,2025-01-16,2025-01,2025-W03,Afternoon,M05,P06,185,163,156,7,430.0,379.66,125.0,139.75,220.14,7.17,22657.0,31.92,53.69,31643.28,46488.0
WO-000141,2025-01-16,2025-01,2025-W03,Morning,M06,P04,222,244,239,5,430.0,404.79,95.0,99.54,248.17,7.17,24156.0,35.98,15.04,33334.69,50190.0
WO-000142,2025-01-16,2025-01,2025-W03,Afternoon,M06,P05,415,441,427,14,430.0,417.1,52.0,56.75,249.54,7.17,21168.0,36.18,12.11,29300.96,43554.0
WO-000143,2025-01-17,2025-01,2025-W03,Morning,M01,P03,587,565,559,6,430.0,393.07,38.0,41.74,368.54,7.17,14690.0,53.44,66.15,20764.76,31304.0
WO-000144,2025-01-17,2025-01,2025-W03,Afternoon,M01,P03,567,578,566,12,430.0,395.12,38.0,41.02,342.08,7.17,15028.0,49.6,110.06,21266.33,31696.0
WO-000145,2025-01-17,2025-01,2025-W03,Morning,M02,P02,278,286,282,4,430.0,386.84,74.0,81.16,276.04,7.17,16874.0,40.03,73.54,23581.23,35532.0
WO-000146,2025-01-17,2025-01,2025-W03,Afternoon,M02,P01,355,334,329,5,430.0,380.34,62.0,68.33,261.66,7.17,14696.0,37.94,21.54,20687.15,30926.0
WO-000147,2025-01-17,2025-01,2025-W03,Morning,M03,P03,592,608,604,4,430.0,399.41,38.0,39.41,422.98,7.17,15808.0,61.33,28.5,22261.5,33824.0
WO-000148,2025-01-17,2025-01,2025-W03,Afternoon,M03,P05,417,406,393,13,430.0,379.82,52.0,56.13,415.47,7.17,19488.0,60.24,65.02,27102.93,40086.0
WO-000149,2025-01-17,2025-01,2025-W03,Morning,M04,P04,237,175,170,5,430.0,322.41,95.0,110.54,249.54,7.17,17325.0,36.18,82.54,24156.39,35700.0
WO-000150,2025-01-17,2025-01,2025-W03,Afternoon,M04,P06,173,127,121,6,430.0,308.79,125.0,145.89,246.4,7.17,17653.0,35.73,121.81,24875.21,36058.0
WO-000151,2025-01-17,2025-01,2025-W03,Morning,M05,P06,168,163,157,6,430.0,370.42,125.0,136.35,208.95,7.17,22657.0,30.3,17.38,31605.34,46786.0
WO-000152,2025-01-17,2025-01,2025-W03,Afternoon,M05,P01,363,327,324,3,430.0,375.62,62.0,68.92,215.63,7.17,14388.0,31.27,78.39,20317.32,30456.0
