event_id,order_id,date,shift,machine_id,category,reason,duration_min,planned
DT-0000118,WO-000056,2025-01-07,Afternoon,M05,Microstop,Vision retry,20.5,0
DT-0000119,WO-000056,2025-01-07,Afternoon,M05,Microstop,Material jam,21.63,0
DT-0000120,WO-000056,2025-01-07,Afternoon,M05,Breakdown,Mechanical fault,35.63,0
DT-0000121,WO-000057,2025-01-07,Morning,M06,Breakdown,Sensor fault,4.02,0
DT-0000122,WO-000057,2025-01-07,Morning,M06,Material,Material shortage,7.83,0
DT-0000123,WO-000057,2025-01-07,Morning,M06,Planned,Calibration,17.51,1
DT-0000124,WO-000058,2025-01-07,Afternoon,M06,Microstop,Vision retry,10.12,0
DT-0000125,WO-000058,2025-01-07,Afternoon,M06,Microstop,Vision retry,30.55,0
DT-0000126,WO-000059,2025-01-08,Morning,M01,Microstop,Material jam,26.98,0
DT-0000127,WO-000059,2025-01-08,Morning,M01,Changeover,Tooling change,18.52,0
DT-0000128,WO-000059,2025-01-08,Morning,M01,Microstop,Vision retry,14.09,0
DT-0000129,WO-000059,2025-01-08,Morning,M01,Planned,Preventive maintenance,6.76,1
DT-0000130,WO-000060,2025-01-08,Afternoon,M01,Microstop,Material jam,33.21,0
DT-0000131,WO-000060,2025-01-08,Afternoon,M01,Process,Parameter adjustment,8.8,0
DT-0000132,WO-000061,2025-01-08,Morning,M02,Breakdown,Sensor fault,9.15,0
DT-0000133,WO-000061,2025-01-08,Morning,M02,Process,Parameter adjustment,21.73,0
DT-0000134,WO-000061,2025-01-08,Morning,M02,Process,Parameter adjustment,20.57,0
DT-0000135,WO-000062,2025-01-08,Afternoon,M02,Planned,Calibration,12.96,1
DT-0000136,WO-000062,2025-01-08,Afternoon,M02,Planned,Calibration,33.6,1
DT-0000137,WO-000062,2025-01-08,Afternoon,M02,Process,Parameter adjustment,5.64,0
DT-0000138,WO-000062,2025-01-08,Afternoon,M02,Breakdown,Mechanical fault,3.32,0
DT-0000139,WO-000062,2025-01-08,Afternoon,M02,Changeover,Planned changeover,3.54,1
DT-0000140,WO-000063,2025-01-08,Morning,M03,Changeover,Tooling change,31.64,0
DT-0000141,WO-000064,2025-01-08,Afternoon,M03,Process,Parameter adjustment,27.16,0
DT-0000142,WO-000065,2025-01-08,Morning,M04,Breakdown,Robot recovery,38.78,0
DT-0000143,WO-000065,2025-01-08,Morning,M04,Changeover,Fixture setup,13.0,0
DT-0000144,WO-000065,2025-01-08,Morning,M04,Changeover,Fixture setup,64.02,0
DT-0000145,WO-000066,2025-01-08,Afternoon,M04,Microstop,Torch cleaning,9.96,0
DT-0000146,WO-000066,2025-01-08,Afternoon,M04,Microstop,Torch cleaning,89.78,0
DT-0000147,WO-000067,2025-01-08,Morning,M05,Changeover,Planned changeover,1.0,1
DT-0000148,WO-000067,2025-01-08,Morning,M05,Changeover,Tooling change,8.95,0
DT-0000149,WO-000067,2025-01-08,Morning,M05,Microstop,Material jam,50.22,0
DT-0000150,WO-000068,2025-01-08,Afternoon,M05,Breakdown,Mechanical fault,84.15,0
DT-0000151,WO-000069,2025-01-08,Morning,M06,Changeover,Planned changeover,43.78,1
DT-0000152,WO-000070,2025-01-08,Afternoon,M06,Microstop,Material jam,37.91,0
DT-0000153,WO-000070,2025-01-08,Afternoon,M06,Changeover,Tooling change,4.26,0
DT-0000154,WO-000071,2025-01-09,Morning,M01,Breakdown,Mechanical fault,22.31,0
DT-0000155,WO-000071,2025-01-09,Morning,M01,Microstop,Vision retry,19.75,0
DT-0000156,WO-000072,2025-01-09,Afternoon,M01,Microstop,Vision retry,56.37,0
DT-0000157,WO-000072,2025-01-09,Afternoon,M01,Material,Material shortage,5.53,0
DT-0000158,WO-000073,2025-01-09,Morning,M02,Microstop,Material jam,3.09,0
DT-0000159,WO-000073,2025-01-09,Morning,M02,Process,Parameter adjustment,5.22,0
DT-0000160,WO-000073,2025-01-09,Morning,M02,Breakdown,Mechanical fault,11.94,0
DT-0000161,WO-000073,2025-01-09,Morning,M02,Planned,Calibration,2.14,1
DT-0000162,WO-000073,2025-01-09,Morning,M02,Microstop,Material jam,40.96,0
DT-0000163,WO-000074,2025-01-09,Afternoon,M02,Material,Material shortage,18.76,0
DT-0000164,WO-000074,2025-01-09,Afternoon,M02,Process,Parameter adjustment,17.33,0
DT-0000165,WO-000075,2025-01-09,Morning,M03,Microstop,Vision retry,1.26,0
DT-0000166,WO-000075,2025-01-09,Morning,M03,Microstop,Vision retry,13.71,0
DT-0000167,WO-000075,2025-01-09,Morning,M03,Process,Parameter adjustment,35.26,0
DT-0000168,WO-000076,2025-01-09,Afternoon,M03,Changeover,Planned changeover,23.98,1
DT-0000169,WO-000076,2025-01-09,Afternoon,M03,Planned,Calibration,15.01,1
DT-0000170,WO-000076,2025-01-09,Afternoon,M03,Breakdown,Mechanical fault,4.35,0
DT-0000171,WO-000077,2025-01-09,Morning,M04,Process,Weld parameter adjustment,13.59,0
DT-0000172,WO-000077,2025-01-09,Morning,M04,Changeover,Fixture setup,11.2,0
DT-0000173,WO-000077,2025-01-09,Morning,M04,Changeover,Fixture setup,94.68,0
DT-0000174,WO-000078,2025-01-09,Afternoon,M04,Breakdown,Robot recovery,1.0,0
DT-0000175,WO-000078,2025-01-09,Afternoon,M04,Changeover,Fixture setup,113.56,0
DT-0000176,WO-000079,2025-01-09,Morning,M05,Process,Parameter adjustment,31.87,0
DT-0000177,WO-000079,2025-01-09,Morning,M05,Changeover,Tooling change,14.04,0
DT-0000178,WO-000080,2025-01-09,Afternoon,M05,Material,Material shortage,56.36,0
DT-0000179,WO-000081,2025-01-09,Morning,M06,Process,Parameter adjustment,11.74,0
DT-0000180,WO-000081,2025-01-09,Morning,M06,Material,Material shortage,21.73,0
DT-0000181,WO-000082,2025-01-09,Afternoon,M06,Changeover,Tooling change,27.66,0
DT-0000182,WO-000083,2025-01-10,Morning,M01,Breakdown,Sensor fault,16.27,0
DT-0000183,WO-000083,2025-01-10,Morning,M01,Process,Parameter adjustment,0.97,0
DT-0000184,WO-000083,2025-01-10,Morning,M01,Microstop,Material jam,0.97,0
DT-0000185,WO-000083,2025-01-10,Morning,M01,Breakdown,Sensor fault,16.62,0
DT-0000186,WO-000084,2025-01-10,Afternoon,M01,Planned,Preventive maintenance,29.12,1
DT-0000187,WO-000084,2025-01-10,Afternoon,M01,Breakdown,Sensor fault,19.98,0
DT-0000188,WO-000085,2025-01-10,Morning,M02,Microstop,Material jam,60.3,0
DT-0000189,WO-000085,2025-01-10,Morning,M02,Process,Parameter adjustment,6.55,0
DT-0000190,WO-000086,2025-01-10,Afternoon,M02,Changeover,Planned changeover,63.48,1
DT-0000191,WO-000087,2025-01-10,Morning,M03,Material,Material shortage,3.83,0
DT-0000192,WO-000087,2025-01-10,Morning,M03,Microstop,Vision retry,12.59,0
DT-0000193,WO-000087,2025-01-10,Morning,M03,Changeover,Tooling change,9.7,0
DT-0000194,WO-000088,2025-01-10,Afternoon,M03,Breakdown,Sensor fault,8.47,0
DT-0000195,WO-000088,2025-01-10,Afternoon,M03,Material,Material shortage,30.04,0
DT-0000196,WO-000089,2025-01-10,Morning,M04,Changeover,Fixture setup,45.01,0
DT-0000197,WO-000089,2025-01-10,Morning,M04,Changeover,Fixture setup,59.04,0
DT-0000198,WO-000090,2025-01-10,Afternoon,M04,Process,Weld parameter adjustment,41.52,0
DT-0000199,WO-000090,2025-01-10,Afternoon,M04,Changeover,Fixture setup,8.55,0
DT-0000200,WO-000090,2025-01-10,Afternoon,M04,Planned,Calibration,54.12,1
DT-0000201,WO-000090,2025-01-10,Afternoon,M04,Breakdown,Robot recovery,11.83,0
DT-0000202,WO-000091,2025-01-10,Morning,M05,Planned,Calibration,33.83,1
DT-0000203,WO-000091,2025-01-10,Morning,M05,Planned,Preventive maintenance,4.63,1
DT-0000204,WO-000092,2025-01-10,Afternoon,M05,Material,Material shortage,19.39,0
DT-0000205,WO-000092,2025-01-10,Afternoon,M05,Microstop,Material jam,0.98,0
DT-0000206,WO-000092,2025-01-10,Afternoon,M05,Changeover,Tooling change,22.09,0
DT-0000207,WO-000093,2025-01-10,Morning,M06,Breakdown,Sensor fault,13.54,0
DT-0000208,WO-000093,2025-01-10,Morning,M06,Breakdown,Sensor fault,1.2,0
DT-0000209,WO-000094,2025-01-10,Afternoon,M06,Breakdown,Mechanical fault,8.08,0
DT-0000210,WO-000094,2025-01-10,Afternoon,M06,Material,Material shortage,1.99,0
DT-0000211,WO-000094,2025-01-10,Afternoon,M06,Microstop,Vision retry,20.59,0
DT-0000212,WO-000095,2025-01-13,Morning,M01,Breakdown,Mechanical fault,40.43,0
DT-0000213,WO-000095,2025-01-13,Morning,M01,Breakdown,Mechanical fault,4.43,0
DT-0000214,WO-000096,2025-01-13,Afternoon,M01,Process,Parameter adjustment,11.84,0
DT-0000215,WO-000096,2025-01-13,Afternoon,M01,Changeover,Planned changeover,41.54,1
DT-0000216,WO-000096,2025-01-13,Afternoon,M01,Breakdown,Sensor fault,6.35,0
DT-0000217,WO-000096,2025-01-13,Afternoon,M01,Breakdown,Sensor fault,6.0,0
DT-0000218,WO-000096,2025-01-13,Afternoon,M01,Breakdown,Mechanical fault,1.44,0
DT-0000219,WO-000097,2025-01-13,Morning,M02,Microstop,Vision retry,48.72,0
DT-0000220,WO-000098,2025-01-13,Afternoon,M02,Changeover,Tooling change,74.63,0
DT-0000221,WO-000099,2025-01-13,Morning,M03,Material,Material shortage,9.52,0
DT-0000222,WO-000099,2025-01-13,Morning,M03,Microstop,Material jam,5.29,0
DT-0000223,WO-000099,2025-01-13,Morning,M03,Process,Parameter adjustment,26.09,0
DT-0000224,WO-000100,2025-01-13,Afternoon,M03,Microstop,Material jam,1.65,0
DT-0000225,WO-000100,2025-01-13,Afternoon,M03,Process,Parameter adjustment,42.21,0
DT-0000226,WO-000101,2025-01-13,Morning,M04,Planned,Preventive maintenance,11.83,1
DT-0000227,WO-000101,2025-01-13,Morning,M04,Planned,Calibration,5.91,1
DT-0000228,WO-000101,2025-01-13,Morning,M04,Changeover,Planned changeover,17.02,1
DT-0000229,WO-000101,2025-01-13,Morning,M04,Breakdown,Wire feeder fault,70.81,0
DT-0000230,WO-000102,2025-01-13,Afternoon,M04,Breakdown,Wire feeder fault,29.55,0
DT-0000231,WO-000102,2025-01-13,Afternoon,M04,Microstop,Torch cleaning,70.74,0
DT-0000232,WO-000103,2025-01-13,Morning,M05,Breakdown,Sensor fault,51.67,0
DT-0000233,WO-000104,2025-01-13,Afternoon,M05,Microstop,Vision retry,5.54,0
DT-0000234,WO-000104,2025-01-13,Afternoon,M05,Microstop,Vision retry,43.72,0
DT-0000235,WO-000105,2025-01-13,Morning,M06,Microstop,Vision retry,12.9,0
DT-0000236,WO-000106,2025-01-13,Afternoon,M06,Planned,Preventive maintenance,25.71,1
DT-0000237,WO-000106,2025-01-13,Afternoon,M06,Planned,Calibration,4.65,1
DT-0000238,WO-000107,2025-01-14,Morning,M01,Material,Material shortage,0.98,0
DT-0000239,WO-000107,2025-01-14,Morning,M01,Planned,Calibration,46.51,1
DT-0000240,WO-000107,2025-01-14,Morning,M01,Microstop,Material jam,4.81,0
DT-0000241,WO-000108,2025-01-14,Afternoon,M01,Changeover,Tooling change,57.53,0
DT-0000242,WO-000109,2025-01-14,Morning,M02,Process,Parameter adjustment,26.09,0
DT-0000243,WO-000109,2025-01-14,Morning,M02,Breakdown,Mechanical fault,13.51,0
DT-0000244,WO-000110,2025-01-14,Afternoon,M02,Changeover,Planned changeover,7.18,1
DT-0000245,WO-000110,2025-01-14,Afternoon,M02,Breakdown,Sensor fault,1.0,0
DT-0000246,WO-000110,2025-01-14,Afternoon,M02,Changeover,Tooling change,1.06,0
DT-0000247,WO-000110,2025-01-14,Afternoon,M02,Microstop,Material jam,53.57,0
DT-0000248,WO-000111,2025-01-14,Morning,M03,Material,Material shortage,47.28,0
DT-0000249,WO-000112,2025-01-14,Afternoon,M03,Microstop,Vision retry,45.48,0
DT-0000250,WO-000113,2025-01-14,Morning,M04,Planned,Preventive maintenance,42.64,1
DT-0000251,WO-000113,2025-01-14,Morning,M04,Microstop,Vision retry,7.56,0
DT-0000252,WO-000113,2025-01-14,Morning,M04,Breakdown,Robot recovery,60.41,0
DT-0000253,WO-000114,2025-01-14,Afternoon,M04,Microstop,Vision retry,14.67,0
DT-0000254,WO-000114,2025-01-14,Afternoon,M04,Changeover,Fixture setup,40.06,0
DT-0000255,WO-000114,2025-01-14,Afternoon,M04,Breakdown,Wire feeder fault,88.18,0
DT-0000256,WO-000115,2025-01-14,Morning,M05,Breakdown,Mechanical fault,6.19,0
DT-0000257,WO-000115,2025-01-14,Morning,M05,Material,Material shortage,5.03,0
DT-0000258,WO-000115,2025-01-14,Morning,M05,Process,Parameter adjustment,4.93,0
DT-0000259,WO-000115,2025-01-14,Morning,M05,Microstop,Material jam,15.82,0
DT-0000260,WO-000116,2025-01-14,Afternoon,M05,Breakdown,Mechanical fault,12.89,0
DT-0000261,WO-000116,2025-01-14,Afternoon,M05,Material,Material shortage,5.57,0
DT-0000262,WO-000116,2025-01-14,Afternoon,M05,Breakdown,Mechanical fault,42.27,0
DT-0000263,WO-000117,2025-01-14,Morning,M06,Microstop,Material jam,40.35,0
DT-0000264,WO-000118,2025-01-14,Afternoon,M06,Breakdown,Sensor fault,4.7,0
DT-0000265,WO-000118,2025-01-14,Afternoon,M06,Process,Parameter adjustment,8.53,0
DT-0000266,WO-000118,2025-01-14,Afternoon,M06,Breakdown,Sensor fault,4.22,0
DT-0000267,WO-000118,2025-01-14,Afternoon,M06,Microstop,Material jam,0.97,0
DT-0000268,WO-000119,2025-01-15,Morning,M01,Changeover,Tooling change,46.28,0
DT-0000269,WO-000120,2025-01-15,Afternoon,M01,Breakdown,Mechanical fault,12.81,0
DT-0000270,WO-000120,2025-01-15,Afternoon,M01,Changeover,Tooling change,20.2,0
DT-0000271,WO-000120,2025-01-15,Afternoon,M01,Breakdown,Sensor fault,8.56,0
DT-0000272,WO-000120,2025-01-15,Afternoon,M01,Planned,Preventive maintenance,16.04,1
DT-0000273,WO-000121,2025-01-15,Morning,M02,Process,Parameter adjustment,39.65,0
DT-0000274,WO-000122,2025-01-15,Afternoon,M02,Breakdown,Mechanical fault,62.01,0
DT-0000275,WO-000123,2025-01-15,Morning,M03,Microstop,Vision retry,37.05,0
DT-0000276,WO-000124,2025-01-15,Afternoon,M03,Breakdown,Mechanical fault,37.76,0
DT-0000277,WO-000125,2025-01-15,Morning,M04,Breakdown,Mechanical fault,34.58,0
DT-0000278,WO-000125,2025-01-15,Morning,M04,Microstop,Vision retry,17.93,0
DT-0000279,WO-000125,2025-01-15,Morning,M04,Breakdown,Mechanical fault,48.57,0
DT-0000280,WO-000126,2025-01-15,Afternoon,M04,Breakdown,Sensor fault,35.9,0
DT-0000281,WO-000126,2025-01-15,Afternoon,M04,Breakdown,Wire feeder fault,11.75,0
DT-0000282,WO-000126,2025-01-15,Afternoon,M04,Microstop,Vision retry,58.73,0
DT-0000283,WO-000127,2025-01-15,Morning,M05,Planned,Calibration,8.32,1
DT-0000284,WO-000127,2025-01-15,Morning,M05,Process,Parameter adjustment,34.08,0
DT-0000285,WO-000127,2025-01-15,Morning,M05,Planned,Preventive maintenance,5.25,1
DT-0000286,WO-000127,2025-01-15,Morning,M05,Microstop,Vision retry,10.35,0
DT-0000287,WO-000128,2025-01-15,Afternoon,M05,Process,Parameter adjustment,60.2,0
DT-0000288,WO-000129,2025-01-15,Morning,M06,Breakdown,Sensor fault,0.95,0
DT-0000289,WO-000129,2025-01-15,Morning,M06,Changeover,Tooling change,1.1,0
DT-0000290,WO-000129,2025-01-15,Morning,M06,Breakdown,Mechanical fault,4.0,0
DT-0000291,WO-000129,2025-01-15,Morning,M06,Breakdown,Sensor fault,7.76,0
DT-0000292,WO-000129,2025-01-15,Morning,M06,Microstop,Material jam,0.95,0
DT-0000293,WO-000130,2025-01-15,Afternoon,M06,Material,Material shortage,33.47,0
DT-0000294,WO-000131,2025-01-16,Morning,M01,Microstop,Vision retry,11.61,0
DT-0000295,WO-000131,2025-01-16,Morning,M01,Material,Material shortage,3.04,0
DT-0000296,WO-000131,2025-01-16,Morning,M01,Process,Parameter adjustment,7.23,0
DT-0000297,WO-000132,2025-01-16,Afternoon,M01,Microstop,Vision retry,19.34,0
DT-0000298,WO-000132,2025-01-16,Afternoon,M01,Material,Material shortage,29.61,0
DT-0000299,WO-000132,2025-01-16,Afternoon,M01,Changeover,Tooling change,1.61,0
DT-0000300,WO-000133,2025-01-16,Morning,M02,Changeover,Planned changeover,63.73,1
DT-0000301,WO-000134,2025-01-16,Afternoon,M02,Changeover,Tooling change,55.58,0
DT-0000302,WO-000135,2025-01-16,Morning,M03,Planned,Calibration,5.0,1
DT-0000303,WO-000135,2025-01-16,Morning,M03,Microstop,Material jam,27.42,0
DT-0000304,WO-000136,2025-01-16,Afternoon,M03,Material,Material shortage,1.63,0
DT-0000305,WO-000136,2025-01-16,Afternoon,M03,Breakdown,Sensor fault,7.08,0
DT-0000306,WO-000136,2025-01-16,Afternoon,M03,Microstop,Vision retry,3.07,0
