check_id,order_id,date,machine_id,product_id,defect_type,defect_count,result
QC-0000060,WO-000020,2025-01-02,M05,P05,Weld porosity,2,FAIL
QC-0000061,WO-000021,2025-01-02,M05,P04,Surface finish,1,FAIL
QC-0000062,WO-000021,2025-01-02,M05,P04,Dimensional,2,FAIL
QC-0000063,WO-000021,2025-01-02,M05,P04,Assembly mismatch,0,PASS
QC-0000064,WO-000022,2025-01-02,M06,P01,Material defect,2,FAIL
QC-0000065,WO-000022,2025-01-02,M06,P01,Weld porosity,5,FAIL
QC-0000066,WO-000022,2025-01-02,M06,P01,Dimensional,0,PASS
QC-0000067,WO-000023,2025-01-02,M06,P04,Weld porosity,2,FAIL
QC-0000068,WO-000023,2025-01-02,M06,P04,Cosmetic,2,FAIL
QC-0000069,WO-000023,2025-01-02,M06,P04,Dimensional,2,FAIL
QC-0000070,WO-000024,2025-01-03,M01,P03,Weld porosity,2,FAIL
QC-0000071,WO-000024,2025-01-03,M01,P03,Assembly mismatch,1,FAIL
QC-0000072,WO-000024,2025-01-03,M01,P03,Dimensional,0,PASS
QC-0000073,WO-000025,2025-01-03,M01,P02,Surface finish,3,FAIL
QC-0000074,WO-000025,2025-01-03,M01,P02,Assembly mismatch,3,FAIL
QC-0000075,WO-000025,2025-01-03,M01,P02,Dimensional,1,FAIL
QC-0000076,WO-000026,2025-01-03,M02,P05,Weld porosity,4,FAIL
QC-0000077,WO-000026,2025-01-03,M02,P05,Assembly mismatch,3,FAIL
QC-0000078,WO-000026,2025-01-03,M02,P05,Surface finish,2,FAIL
QC-0000079,WO-000027,2025-01-03,M02,P02,Cosmetic,5,FAIL
QC-0000080,WO-000027,2025-01-03,M02,P02,Weld porosity,1,FAIL
QC-0000081,WO-000027,2025-01-03,M02,P02,Surface finish,0,PASS
QC-0000082,WO-000028,2025-01-03,M03,P03,Assembly mismatch,4,FAIL
QC-0000083,WO-000028,2025-01-03,M03,P03,Dimensional,2,FAIL
QC-0000084,WO-000028,2025-01-03,M03,P03,Weld porosity,1,FAIL
QC-0000085,WO-000029,2025-01-03,M03,P03,Material defect,5,FAIL
QC-0000086,WO-000029,2025-01-03,M03,P03,Cosmetic,2,FAIL
QC-0000087,WO-000029,2025-01-03,M03,P03,Surface finish,1,FAIL
QC-0000088,WO-000030,2025-01-03,M04,P06,Weld porosity,4,FAIL
QC-0000089,WO-000030,2025-01-03,M04,P06,Material defect,0,PASS
QC-0000090,WO-000030,2025-01-03,M04,P06,Surface finish,2,FAIL
QC-0000091,WO-000031,2025-01-03,M04,P06,Weld porosity,4,FAIL
QC-0000092,WO-000031,2025-01-03,M04,P06,Assembly mismatch,1,FAIL
QC-0000093,WO-000031,2025-01-03,M04,P06,Dimensional,1,FAIL
QC-0000094,WO-000032,2025-01-03,M05,P05,Weld porosity,7,FAIL
QC-0000095,WO-000032,2025-01-03,M05,P05,Cosmetic,2,FAIL
QC-0000096,WO-000032,2025-01-03,M05,P05,Dimensional,0,PASS
QC-0000097,WO-000033,2025-01-03,M05,P06,Material defect,6,FAIL
QC-0000098,WO-000033,2025-01-03,M05,P06,Cosmetic,0,PASS
QC-0000099,WO-000033,2025-01-03,M05,P06,Dimensional,0,PASS
QC-0000100,WO-000034,2025-01-03,M06,P06,Material defect,4,FAIL
QC-0000101,WO-000034,2025-01-03,M06,P06,Surface finish,2,FAIL
QC-0000102,WO-000034,2025-01-03,M06,P06,Dimensional,0,PASS
QC-0000103,WO-000035,2025-01-03,M06,P01,Weld porosity,3,FAIL
QC-0000104,WO-000035,2025-01-03,M06,P01,Surface finish,2,FAIL
QC-0000105,WO-000035,2025-01-03,M06,P01,Cosmetic,2,FAIL
QC-0000106,WO-000036,2025-01-06,M01,P03,Surface finish,4,FAIL
QC-0000107,WO-000036,2025-01-06,M01,P03,Cosmetic,3,FAIL
QC-0000108,WO-000036,2025-01-06,M01,P03,Material defect,0,PASS
QC-0000109,WO-000037,2025-01-06,M01,P02,Assembly mismatch,4,FAIL
QC-0000110,WO-000037,2025-01-06,M01,P02,Dimensional,1,FAIL
QC-0000111,WO-000037,2025-01-06,M01,P02,Weld porosity,2,FAIL
QC-0000112,WO-000038,2025-01-06,M02,P02,Material defect,2,FAIL
QC-0000113,WO-000038,2025-01-06,M02,P02,Weld porosity,0,PASS
QC-0000114,WO-000038,2025-01-06,M02,P02,Surface finish,2,FAIL
QC-0000115,WO-000039,2025-01-06,M02,P05,Surface finish,7,FAIL
QC-0000116,WO-000039,2025-01-06,M02,P05,Cosmetic,2,FAIL
QC-0000117,WO-000039,2025-01-06,M02,P05,Dimensional,1,FAIL
QC-0000118,WO-000040,2025-01-06,M03,P03,Material defect,2,FAIL
QC-0000119,WO-000040,2025-01-06,M03,P03,Dimensional,2,FAIL
QC-0000120,WO-000040,2025-01-06,M03,P03,Surface finish,0,PASS
QC-0000121,WO-000041,2025-01-06,M03,P05,Weld porosity,4,FAIL
QC-0000122,WO-000041,2025-01-06,M03,P05,Cosmetic,3,FAIL
QC-0000123,WO-000041,2025-01-06,M03,P05,Material defect,4,FAIL
QC-0000124,WO-000042,2025-01-06,M04,P06,Dimensional,5,FAIL
QC-0000125,WO-000042,2025-01-06,M04,P06,Material defect,0,PASS
QC-0000126,WO-000042,2025-01-06,M04,P06,Weld porosity,0,PASS
QC-0000127,WO-000043,2025-01-06,M05,P01,Weld porosity,2,FAIL
QC-0000128,WO-000043,2025-01-06,M05,P01,Surface finish,1,FAIL
QC-0000129,WO-000043,2025-01-06,M05,P01,Material defect,1,FAIL
QC-0000130,WO-000044,2025-01-06,M05,P06,Cosmetic,1,FAIL
QC-0000131,WO-000044,2025-01-06,M05,P06,Material defect,4,FAIL
QC-0000132,WO-000044,2025-01-06,M05,P06,Assembly mismatch,1,FAIL
QC-0000133,WO-000045,2025-01-06,M06,P01,Assembly mismatch,3,FAIL
QC-0000134,WO-000045,2025-01-06,M06,P01,Weld porosity,3,FAIL
QC-0000135,WO-000045,2025-01-06,M06,P01,Material defect,2,FAIL
QC-0000136,WO-000046,2025-01-06,M06,P06,Assembly mismatch,3,FAIL
QC-0000137,WO-000046,2025-01-06,M06,P06,Cosmetic,3,FAIL
QC-0000138,WO-000046,2025-01-06,M06,P06,Dimensional,1,FAIL
QC-0000139,WO-000047,2025-01-07,M01,P01,Assembly mismatch,3,FAIL
QC-0000140,WO-000047,2025-01-07,M01,P01,Cosmetic,3,FAIL
QC-0000141,WO-000047,2025-01-07,M01,P01,Surface finish,1,FAIL
QC-0000142,WO-000048,2025-01-07,M01,P02,Dimensional,4,FAIL
QC-0000143,WO-000048,2025-01-07,M01,P02,Assembly mismatch,2,FAIL
QC-0000144,WO-000048,2025-01-07,M01,P02,Material defect,0,PASS
QC-0000145,WO-000049,2025-01-07,M02,P01,Material defect,3,FAIL
QC-0000146,WO-000049,2025-01-07,M02,P01,Dimensional,2,FAIL
QC-0000147,WO-000049,2025-01-07,M02,P01,Cosmetic,0,PASS
QC-0000148,WO-000050,2025-01-07,M02,P05,Material defect,6,FAIL
QC-0000149,WO-000050,2025-01-07,M02,P05,Cosmetic,5,FAIL
QC-0000150,WO-000050,2025-01-07,M02,P05,Assembly mismatch,0,PASS
QC-0000151,WO-000051,2025-01-07,M03,P03,Surface finish,6,FAIL
QC-0000152,WO-000051,2025-01-07,M03,P03,Cosmetic,1,FAIL
QC-0000153,WO-000051,2025-01-07,M03,P03,Assembly mismatch,1,FAIL
QC-0000154,WO-000052,2025-01-07,M03,P03,Surface finish,6,FAIL
QC-0000155,WO-000052,2025-01-07,M03,P03,Cosmetic,1,FAIL
QC-0000156,WO-000052,2025-01-07,M03,P03,Assembly mismatch,3,FAIL
QC-0000157,WO-000053,2025-01-07,M04,P03,Weld porosity,4,FAIL
QC-0000158,WO-000053,2025-01-07,M04,P03,Cosmetic,1,FAIL
QC-0000159,WO-000053,2025-01-07,M04,P03,Dimensional,1,FAIL
QC-0000160,WO-000054,2025-01-07,M04,P04,Weld porosity,4,FAIL
QC-0000161,WO-000054,2025-01-07,M04,P04,Surface finish,0,PASS
QC-0000162,WO-000054,2025-01-07,M04,P04,Assembly mismatch,0,PASS
QC-0000163,WO-000055,2025-01-07,M05,P04,Material defect,1,FAIL
QC-0000164,WO-000055,2025-01-07,M05,P04,Dimensional,1,FAIL
QC-0000165,WO-000055,2025-01-07,M05,P04,Surface finish,1,FAIL
QC-0000166,WO-000056,2025-01-07,M05,P06,Weld porosity,3,FAIL
QC-0000167,WO-000056,2025-01-07,M05,P06,Dimensional,3,FAIL
QC-0000168,WO-000056,2025-01-07,M05,P06,Surface finish,0,PASS
QC-0000169,WO-000057,2025-01-07,M06,P05,Material defect,4,FAIL
QC-0000170,WO-000057,2025-01-07,M06,P05,Surface finish,6,FAIL
QC-0000171,WO-000057,2025-01-07,M06,P05,Cosmetic,1,FAIL
QC-0000172,WO-000058,2025-01-07,M06,P04,Surface finish,1,FAIL
QC-0000173,WO-000058,2025-01-07,M06,P04,Weld porosity,3,FAIL
QC-0000174,WO-000058,2025-01-07,M06,P04,Material defect,1,FAIL
QC-0000175,WO-000059,2025-01-08,M01,P03,Material defect,1,FAIL
QC-0000176,WO-000059,2025-01-08,M01,P03,Assembly mismatch,2,FAIL
QC-0000177,WO-000059,2025-01-08,M01,P03,Weld porosity,1,FAIL
QC-0000178,WO-000060,2025-01-08,M01,P02,Surface finish,3,FAIL
QC-0000179,WO-000060,2025-01-08,M01,P02,Material defect,2,FAIL
QC-0000180,WO-000060,2025-01-08,M01,P02,Assembly mismatch,0,PASS
QC-0000181,WO-000061,2025-01-08,M02,P02,Dimensional,4,FAIL
QC-0000182,WO-000061,2025-01-08,M02,P02,Assembly mismatch,1,FAIL
QC-0000183,WO-000061,2025-01-08,M02,P02,Cosmetic,2,FAIL
QC-0000184,WO-000062,2025-01-08,M02,P05,Weld porosity,7,FAIL
QC-0000185,WO-000062,2025-01-08,M02,P05,Surface finish,1,FAIL
QC-0000186,WO-000062,2025-01-08,M02,P05,Material defect,0,PASS
QC-0000187,WO-000063,2025-01-08,M03,P01,Material defect,2,FAIL
QC-0000188,WO-000063,2025-01-08,M03,P01,Assembly mismatch,4,FAIL
QC-0000189,WO-000063,2025-01-08,M03,P01,Surface finish,1,FAIL
QC-0000190,WO-000064,2025-01-08,M03,P05,Cosmetic,8,FAIL
QC-0000191,WO-000064,2025-01-08,M03,P05,Dimensional,4,FAIL
QC-0000192,WO-000064,2025-01-08,M03,P05,Assembly mismatch,0,PASS
QC-0000193,WO-000065,2025-01-08,M04,P04,Weld porosity,2,FAIL
QC-0000194,WO-000065,2025-01-08,M04,P04,Material defect,1,FAIL
QC-0000195,WO-000065,2025-01-08,M04,P04,Assembly mismatch,2,FAIL
QC-0000196,WO-000066,2025-01-08,M04,P04,Weld porosity,3,FAIL
QC-0000197,WO-000066,2025-01-08,M04,P04,Cosmetic,2,FAIL
QC-0000198,WO-000066,2025-01-08,M04,P04,Surface finish,1,FAIL
QC-0000199,WO-000067,2025-01-08,M05,P05,Surface finish,7,FAIL
QC-0000200,WO-000067,2025-01-08,M05,P05,Assembly mismatch,1,FAIL
QC-0000201,WO-000067,2025-01-08,M05,P05,Dimensional,2,FAIL
QC-0000202,WO-000068,2025-01-08,M05,P05,Cosmetic,6,FAIL
QC-0000203,WO-000068,2025-01-08,M05,P05,Material defect,2,FAIL
QC-0000204,WO-000068,2025-01-08,M05,P05,Assembly mismatch,2,FAIL
QC-0000205,WO-000069,2025-01-08,M06,P01,Assembly mismatch,3,FAIL
QC-0000206,WO-000069,2025-01-08,M06,P01,Cosmetic,0,PASS
QC-0000207,WO-000069,2025-01-08,M06,P01,Dimensional,1,FAIL
QC-0000208,WO-000070,2025-01-08,M06,P04,Dimensional,3,FAIL
QC-0000209,WO-000070,2025-01-08,M06,P04,Surface finish,2,FAIL
QC-0000210,WO-000070,2025-01-08,M06,P04,Cosmetic,0,PASS
QC-0000211,WO-000071,2025-01-09,M01,P03,Dimensional,3,FAIL
QC-0000212,WO-000071,2025-01-09,M01,P03,Weld porosity,1,FAIL
QC-0000213,WO-000071,2025-01-09,M01,P03,Assembly mismatch,2,FAIL
QC-0000214,WO-000072,2025-01-09,M01,P02,Assembly mismatch,5,FAIL
QC-0000215,WO-000072,2025-01-09,M01,P02,Cosmetic,3,FAIL
QC-0000216,WO-000072,2025-01-09,M01,P02,Dimensional,0,PASS
QC-0000217,WO-000073,2025-01-09,M02,P05,Material defect,4,FAIL
QC-0000218,WO-000073,2025-01-09,M02,P05,Weld porosity,3,FAIL
QC-0000219,WO-000073,2025-01-09,M02,P05,Surface finish,1,FAIL
QC-0000220,WO-000074,2025-01-09,M02,P02,Material defect,5,FAIL
QC-0000221,WO-000074,2025-01-09,M02,P02,Cosmetic,0,PASS
QC-0000222,WO-000074,2025-01-09,M02,P02,Assembly mismatch,1,FAIL
QC-0000223,WO-000075,2025-01-09,M03,P01,Weld porosity,3,FAIL
QC-0000224,WO-000075,2025-01-09,M03,P01,Assembly mismatch,1,FAIL
QC-0000225,WO-000075,2025-01-09,M03,P01,Dimensional,1,FAIL
QC-0000226,WO-000076,2025-01-09,M03,P01,Dimensional,4,FAIL
QC-0000227,WO-000076,2025-01-09,M03,P01,Weld porosity,3,FAIL
QC-0000228,WO-000076,2025-01-09,M03,P01,Assembly mismatch,1,FAIL
QC-0000229,WO-000077,2025-01-09,M04,P03,Dimensional,4,FAIL
QC-0000230,WO-000077,2025-01-09,M04,P03,Assembly mismatch,4,FAIL
QC-0000231,WO-000077,2025-01-09,M04,P03,Weld porosity,1,FAIL
QC-0000232,WO-000078,2025-01-09,M04,P03,Weld porosity,3,FAIL
QC-0000233,WO-000078,2025-01-09,M04,P03,Dimensional,8,FAIL
QC-0000234,WO-000078,2025-01-09,M04,P03,Surface finish,2,FAIL
QC-0000235,WO-000079,2025-01-09,M05,P04,Weld porosity,5,FAIL
QC-0000236,WO-000079,2025-01-09,M05,P04,Assembly mismatch,0,PASS
QC-0000237,WO-000079,2025-01-09,M05,P04,Material defect,0,PASS
QC-0000238,WO-000080,2025-01-09,M05,P06,Material defect,3,FAIL
QC-0000239,WO-000080,2025-01-09,M05,P06,Dimensional,2,FAIL
QC-0000240,WO-000080,2025-01-09,M05,P06,Weld porosity,1,FAIL
QC-0000241,WO-000081,2025-01-09,M06,P06,Weld porosity,4,FAIL
QC-0000242,WO-000081,2025-01-09,M06,P06,Cosmetic,2,FAIL
QC-0000243,WO-000081,2025-01-09,M06,P06,Material defect,0,PASS
QC-0000244,WO-000082,2025-01-09,M06,P01,Material defect,5,FAIL
QC-0000245,WO-000082,2025-01-09,M06,P01,Weld porosity,0,PASS
QC-0000246,WO-000082,2025-01-09,M06,P01,Dimensional,1,FAIL
QC-0000247,WO-000083,2025-01-10,M01,P02,Weld porosity,4,FAIL
QC-0000248,WO-000083,2025-01-10,M01,P02,Dimensional,3,FAIL
QC-0000249,WO-000083,2025-01-10,M01,P02,Material defect,0,PASS
QC-0000250,WO-000084,2025-01-10,M01,P02,Material defect,4,FAIL
QC-0000251,WO-000084,2025-01-10,M01,P02,Weld porosity,2,FAIL
QC-0000252,WO-000084,2025-01-10,M01,P02,Assembly mismatch,0,PASS
QC-0000253,WO-000085,2025-01-10,M02,P01,Surface finish,2,FAIL
QC-0000254,WO-000085,2025-01-10,M02,P01,Assembly mismatch,1,FAIL
QC-0000255,WO-000085,2025-01-10,M02,P01,Material defect,0,PASS
QC-0000256,WO-000086,2025-01-10,M02,P05,Surface finish,7,FAIL
QC-0000257,WO-000086,2025-01-10,M02,P05,Material defect,2,FAIL
QC-0000258,WO-000086,2025-01-10,M02,P05,Cosmetic,1,FAIL
QC-0000259,WO-000087,2025-01-10,M03,P03,Dimensional,3,FAIL
QC-0000260,WO-000087,2025-01-10,M03,P03,Surface finish,2,FAIL
QC-0000261,WO-000087,2025-01-10,M03,P03,Cosmetic,1,FAIL
QC-0000262,WO-000088,2025-01-10,M03,P01,Dimensional,5,FAIL
QC-0000263,WO-000088,2025-01-10,M03,P01,Surface finish,2,FAIL
QC-0000264,WO-000088,2025-01-10,M03,P01,Assembly mismatch,2,FAIL
QC-0000265,WO-000089,2025-01-10,M04,P04,Weld porosity,2,FAIL
QC-0000266,WO-000089,2025-01-10,M04,P04,Material defect,0,PASS
QC-0000267,WO-000089,2025-01-10,M04,P04,Surface finish,2,FAIL
QC-0000268,WO-000090,2025-01-10,M04,P06,Weld porosity,3,FAIL
QC-0000269,WO-000090,2025-01-10,M04,P06,Surface finish,1,FAIL
QC-0000270,WO-000090,2025-01-10,M04,P06,Cosmetic,2,FAIL
QC-0000271,WO-000091,2025-01-10,M05,P06,Material defect,5,FAIL
QC-0000272,WO-000091,2025-01-10,M05,P06,Cosmetic,0,PASS
QC-0000273,WO-000091,2025-01-10,M05,P06,Dimensional,0,PASS
QC-0000274,WO-000092,2025-01-10,M05,P04,Surface finish,4,FAIL
QC-0000275,WO-000092,2025-01-10,M05,P04,Dimensional,0,PASS
QC-0000276,WO-000092,2025-01-10,M05,P04,Weld porosity,0,PASS
QC-0000277,WO-000093,2025-01-10,M06,P06,Cosmetic,6,FAIL
QC-0000278,WO-000093,2025-01-10,M06,P06,Surface finish,0,PASS
QC-0000279,WO-000093,2025-01-10,M06,P06,Dimensional,0,PASS
QC-0000280,WO-000094,2025-01-10,M06,P04,Weld porosity,0,PASS
QC-0000281,WO-000094,2025-01-10,M06,P04,Cosmetic,2,FAIL
QC-0000282,WO-000094,2025-01-10,M06,P04,Assembly mismatch,2,FAIL
QC-0000283,WO-000095,2025-01-13,M01,P03,Cosmetic,4,FAIL
QC-0000284,WO-000095,2025-01-13,M01,P03,Dimensional,1,FAIL
QC-0000285,WO-000095,2025-01-13,M01,P03,Weld porosity,0,PASS
QC-0000286,WO-000096,2025-01-13,M01,P03,Weld porosity,2,FAIL
QC-0000287,WO-000096,2025-01-13,M01,P03,Assembly mismatch,4,FAIL
QC-0000288,WO-000096,2025-01-13,M01,P03,Dimensional,1,FAIL
QC-0000289,WO-000097,2025-01-13,M02,P01,Material defect,3,FAIL
QC-0000290,WO-000097,2025-01-13,M02,P01,Weld porosity,0,PASS
QC-0000291,WO-000097,2025-01-13,M02,P01,Dimensional,2,FAIL
QC-0000292,WO-000098,2025-01-13,M02,P05,Dimensional,6,FAIL
QC-0000293,WO-000098,2025-01-13,M02,P05,Surface finish,1,FAIL
QC-0000294,WO-000098,2025-01-13,M02,P05,Weld porosity,1,FAIL
QC-0000295,WO-000099,2025-01-13,M03,P03,Dimensional,6,FAIL
QC-0000296,WO-000099,2025-01-13,M03,P03,Weld porosity,2,FAIL
QC-0000297,WO-000099,2025-01-13,M03,P03,Surface finish,1,FAIL
QC-0000298,WO-000100,2025-01-13,M03,P03,Cosmetic,7,FAIL
QC-0000299,WO-000100,2025-01-13,M03,P03,Assembly mismatch,5,FAIL
QC-0000300,WO-000100,2025-01-13,M03,P03,Weld porosity,1,FAIL
QC-0000301,WO-000101,2025-01-13,M04,P06,Weld porosity,3,FAIL
QC-0000302,WO-000101,2025-01-13,M04,P06,Assembly mismatch,3,FAIL
QC-0000303,WO-000101,2025-01-13,M04,P06,Surface finish,1,FAIL
QC-0000304,WO-000102,2025-01-13,M04,P04,Material defect,2,FAIL
QC-0000305,WO-000102,2025-01-13,M04,P04,Weld porosity,2,FAIL
QC-0000306,WO-000102,2025-01-13,M04,P04,Cosmetic,2,FAIL
QC-0000307,WO-000103,2025-01-13,M05,P01,Assembly mismatch,5,FAIL
QC-0000308,WO-000103,2025-01-13,M05,P01,Cosmetic,1,FAIL
QC-0000309,WO-000103,2025-01-13,M05,P01,Dimensional,0,PASS
QC-0000310,WO-000104,2025-01-13,M05,P04,Weld porosity,1,FAIL
QC-0000311,WO-000104,2025-01-13,M05,P04,Material defect,0,PASS
QC-0000312,WO-000104,2025-01-13,M05,P04,Surface finish,3,FAIL
QC-0000313,WO-000105,2025-01-13,M06,P01,Dimensional,2,FAIL
QC-0000314,WO-000105,2025-01-13,M06,P01,Cosmetic,0,PASS
QC-0000315,WO-000105,2025-01-13,M06,P01,Assembly mismatch,1,FAIL
QC-0000316,WO-000106,2025-01-13,M06,P04,Assembly mismatch,5,FAIL
QC-0000317,WO-000106,2025-01-13,M06,P04,Weld porosity,0,PASS
QC-0000318,WO-000106,2025-01-13,M06,P04,Cosmetic,1,FAIL
QC-0000319,WO-000107,2025-01-14,M01,P03,Surface finish,5,FAIL
QC-0000320,WO-000107,2025-01-14,M01,P03,Material defect,5,FAIL
QC-0000321,WO-000107,2025-01-14,M01,P03,Assembly mismatch,1,FAIL
QC-0000322,WO-000108,2025-01-14,M01,P01,Surface finish,3,FAIL
QC-0000323,WO-000108,2025-01-14,M01,P01,Assembly mismatch,1,FAIL
QC-0000324,WO-000108,2025-01-14,M01,P01,Dimensional,0,PASS
QC-0000325,WO-000109,2025-01-14,M02,P01,Cosmetic,5,FAIL
QC-0000326,WO-000109,2025-01-14,M02,P01,Material defect,1,FAIL
QC-0000327,WO-000109,2025-01-14,M02,P01,Surface finish,0,PASS
QC-0000328,WO-000110,2025-01-14,M02,P02,Surface finish,3,FAIL
QC-0000329,WO-000110,2025-01-14,M02,P02,Weld porosity,2,FAIL
QC-0000330,WO-000110,2025-01-14,M02,P02,Material defect,0,PASS
QC-0000331,WO-000111,2025-01-14,M03,P03,Material defect,4,FAIL
QC-0000332,WO-000111,2025-01-14,M03,P03,Dimensional,2,FAIL
QC-0000333,WO-000111,2025-01-14,M03,P03,Surface finish,2,FAIL
QC-0000334,WO-000112,2025-01-14,M03,P01,Cosmetic,2,FAIL
QC-0000335,WO-000112,2025-01-14,M03,P01,Weld porosity,2,FAIL
QC-0000336,WO-000112,2025-01-14,M03,P01,Assembly mismatch,2,FAIL
QC-0000337,WO-000113,2025-01-14,M04,P06,Surface finish,3,FAIL
QC-0000338,WO-000113,2025-01-14,M04,P06,Weld porosity,3,FAIL
QC-0000339,WO-000113,2025-01-14,M04,P06,Material defect,0,PASS
QC-0000340,WO-000114,2025-01-14,M04,P04,Weld porosity,2,FAIL
QC-0000341,WO-000114,2025-01-14,M04,P04,Assembly mismatch,2,FAIL
QC-0000342,WO-000114,2025-01-14,M04,P04,Cosmetic,1,FAIL
QC-0000343,WO-000115,2025-01-14,M05,P04,Assembly mismatch,1,FAIL
QC-0000344,WO-000115,2025-01-14,M05,P04,Surface finish,1,FAIL
QC-0000345,WO-000115,2025-01-14,M05,P04,Weld porosity,1,FAIL
QC-0000346,WO-000116,2025-01-14,M05,P01,Assembly mismatch,3,FAIL
QC-0000347,WO-000116,2025-01-14,M05,P01,Material defect,1,FAIL
QC-0000348,WO-000116,2025-01-14,M05,P01,Cosmetic,0,PASS
QC-0000349,WO-000117,2025-01-14,M06,P01,Dimensional,4,FAIL
QC-0000350,WO-000117,2025-01-14,M06,P01,Weld porosity,2,FAIL
QC-0000351,WO-000117,2025-01-14,M06,P01,Cosmetic,1,FAIL
QC-0000352,WO-000118,2025-01-14,M06,P04,Cosmetic,3,FAIL
